Date,Close
2014-12-01,14625.29981
2014-12-02,14620.09961
2014-12-03,14754.09961
2014-12-04,14583.40039
2014-12-05,14473.7002
2014-12-08,14144.2002
2014-12-09,14195.7002
2014-12-10,13853
2014-12-11,13905.09961
2014-12-12,13731.09961
2014-12-15,13705.09961
2014-12-16,13861.5
2014-12-17,14213.90039
2014-12-18,14346.79981
2014-12-19,14468.29981
2014-12-22,14432.40039
2014-12-23,14594
2014-12-24,14609.29981
2014-12-29,14663.90039
2014-12-30,14640
2014-12-31,14632.40039
2015-01-02,14753.7002
2015-01-05,14392.7002
2015-01-06,14246.79981
2015-01-07,14285
2015-01-08,14457.7002
2015-01-09,14384.90039
2015-01-12,14265
2015-01-13,14187.2002
2015-01-14,14084.40039
2015-01-15,14041.79981
2015-01-16,14309.40039
2015-01-19,14312.5
2015-01-20,14308.40039
2015-01-21,14560.40039
2015-01-22,14764
2015-01-23,14779.40039
2015-01-26,14797.79981
2015-01-27,14833.90039
2015-01-28,14602.90039
2015-01-29,14637.29981
2015-01-30,14673.5
2015-02-02,14900.5
2015-02-03,15062.90039
2015-02-04,14995.7002
2015-02-05,15124.90039
2015-02-06,15083.90039
2015-02-09,15100.7002
2015-02-10,15112.5
2015-02-11,15151.5
2015-02-12,15228.5
2015-02-13,15264.79981
2015-02-17,15284.59961
2015-02-18,15212.79981
2015-02-19,15180.29981
2015-02-20,15172.2002
2015-02-23,15200.29981
2015-02-24,15165
2015-02-25,15228.59961
2015-02-26,15241.2002
2015-02-27,15234.29981
2015-03-02,15264.09961
2015-03-03,15133.90039
2015-03-04,15082.79981
2015-03-05,15103.09961
2015-03-06,14952.5
2015-03-09,14854.5
2015-03-10,14641.79981
2015-03-11,14739.2002
2015-03-12,14770.7002
2015-03-13,14731.5
2015-03-16,14862.79981
2015-03-17,14898.5
2015-03-18,14962.2002
2015-03-19,14873.90039
2015-03-20,14942.40039
2015-03-23,14957.2002
2015-03-24,15081.29981
2015-03-25,14929.40039
2015-03-26,14869.79981
2015-03-27,14812.40039
2015-03-30,14908.40039
2015-03-31,14902.40039
2015-04-01,14942.59961
2015-04-02,15026.59961
2015-04-06,15100.7002
2015-04-07,15188.79981
2015-04-08,15213.59961
2015-04-09,15326.29981
2015-04-10,15388.40039
2015-04-13,15383.59961
2015-04-14,15389.29981
2015-04-15,15450.90039
2015-04-16,15386.79981
2015-04-17,15360.59961
2015-04-20,15412.59961
2015-04-21,15346.40039
2015-04-22,15304.79981
2015-04-23,15392.40039
2015-04-24,15408.29981
2015-04-27,15344.09961
2015-04-28,15346.09961
2015-04-29,15347.29981
2015-04-30,15224.5
2015-05-01,15339.79981
2015-05-04,15367.5
2015-05-05,15173.90039
2015-05-06,15023.90039
2015-05-07,15088.79981
2015-05-08,15170
2015-05-11,15152.59961
2015-05-12,15043.2002
2015-05-13,14980.7002
2015-05-14,15028.09961
2015-05-15,15108.09961
2015-05-19,15121
2015-05-20,15072.79981
2015-05-21,15203.59961
2015-05-22,15200.79981
2015-05-25,15187.40039
2015-05-26,15050.79981
2015-05-27,15110.5
2015-05-28,15107
2015-05-29,15014.09961
2015-06-01,15074.09961
2015-06-02,15104.7002
2015-06-03,15154.7002
2015-06-04,15019.40039
2015-06-05,14957.2002
2015-06-08,14743.29981
2015-06-09,14817.7002
2015-06-10,14889
2015-06-11,14830.90039
2015-06-12,14741.2002
2015-06-15,14756.09961
2015-06-16,14753.09961
2015-06-17,14733
2015-06-18,14770.59961
2015-06-19,14653.09961
2015-06-22,14790.5
2015-06-23,14904.90039
2015-06-24,14947.5
2015-06-25,14897.5
2015-06-26,14808.09961
2015-06-29,14490.2002
2015-06-30,14553.29981
2015-07-02,14638
2015-07-03,14682.40039
2015-07-06,14593.59961
2015-07-07,14624.5
2015-07-08,14412.09961
2015-07-09,14278.5
2015-07-10,14411.09961
2015-07-13,14533.2002
2015-07-14,14599.40039
2015-07-15,14662.29981
2015-07-16,14731.09961
2015-07-17,14642.79981
2015-07-20,14425.59961
2015-07-21,14376.2002
2015-07-22,14307.09961
2015-07-23,14265.40039
2015-07-24,14186.2002
2015-07-27,14001.40039
2015-07-28,14077.40039
2015-07-29,14301.79981
2015-07-30,14382.79981
2015-07-31,14468.40039
2015-08-04,14491.09961
2015-08-05,14503
2015-08-06,14405.90039
2015-08-07,14302.7002
2015-08-10,14466.40039
2015-08-11,14414.7002
2015-08-12,14339.5
2015-08-13,14238.40039
2015-08-14,14277.90039
2015-08-17,14251.5
2015-08-18,14193.90039
2015-08-19,14036.59961
2015-08-20,13737
2015-08-21,13473.7002
2015-08-24,13052.7002
2015-08-25,13150.90039
2015-08-26,13381.59961
2015-08-27,13766.7002
2015-08-28,13865.09961
2015-08-31,13859.09961
2015-09-01,13481.90039
2015-09-02,13545.29981
2015-09-03,13596.40039
2015-09-04,13478.29981
2015-09-08,13630.7002
2015-09-09,13531.90039
2015-09-10,13569.90039
2015-09-11,13461.5
2015-09-14,13353.29981
2015-09-15,13462.7002
2015-09-16,13763.79981
2015-09-17,13787.2002
2015-09-18,13646.90039
2015-09-21,13779.40039
2015-09-22,13491.09961
2015-09-23,13383.7002
2015-09-24,13338.7002
2015-09-25,13378.59961
2015-09-28,13004.59961
2015-09-29,13037
2015-09-30,13307
2015-10-01,13241.90039
2015-10-02,13339.7002
2015-10-05,13552.2002
2015-10-06,13647.29981
2015-10-07,13868.40039
2015-10-08,13978.7002
2015-10-09,13964.40039
2015-10-13,13844.7002
2015-10-14,13875.29981
2015-10-15,13829
2015-10-16,13838.09961
2015-10-19,13758.40039
2015-10-20,13841.90039
2015-10-21,13704.2002
2015-10-22,13878.09961
2015-10-23,13953.7002
2015-10-26,13790.90039
2015-10-27,13699.59961
2015-10-28,13863.2002
2015-10-29,13791.90039
2015-10-30,13529.2002
2015-11-02,13623
2015-11-03,13710.29981
2015-11-04,13661.79981
2015-11-05,13558.79981
2015-11-06,13553.29981
2015-11-09,13482.59961
2015-11-10,13411.59961
2015-11-11,13341.90039
2015-11-12,13127.2002
2015-11-13,13075.40039
2015-11-16,13317.5
2015-11-17,13280.40039
2015-11-18,13400
2015-11-19,13473.79981
2015-11-20,13433.5
2015-11-23,13382.40039
2015-11-24,13407.79981
2015-11-25,13403.40039
2015-11-26,13425.2002
2015-11-27,13368.2002
2015-11-30,13469.79981
2015-12-01,13636.09961
2015-12-02,13463.79981
2015-12-03,13324.7002
2015-12-04,13358.79981
2015-12-07,13042.79981
2015-12-08,12922.5
2015-12-09,12937.59961
2015-12-10,13016.59961
2015-12-11,12790
2015-12-14,12695.5
2015-12-15,12919.59961
2015-12-16,13166.09961
2015-12-17,13009.90039
2015-12-18,13024.29981
2015-12-21,13034.40039
2015-12-22,13082.90039
2015-12-23,13284.90039
2015-12-24,13309.79981
2015-12-29,13245.79981
2015-12-30,13142.29981
2015-12-31,13010
2016-01-04,12927.2002
2016-01-05,12920.09961
2016-01-06,12726.79981
2016-01-07,12448.2002
2016-01-08,12445.5
2016-01-11,12319.29981
2016-01-12,12373.90039
2016-01-13,12170.40039
2016-01-14,12336
2016-01-15,12073.5
2016-01-18,11942.2002
2016-01-19,12002.2002
2016-01-20,11843.09961
2016-01-21,12035.90039
2016-01-22,12389.59961
2016-01-25,12143.2002
2016-01-26,12331.29981
2016-01-27,12377.79981
2016-01-28,12591.90039
2016-01-29,12822.09961
2016-02-01,12674.40039
2016-02-02,12442.29981
2016-02-03,12593
2016-02-04,12774.5
2016-02-05,12764
2016-02-08,12535.40039
2016-02-09,12282.7002
2016-02-10,12185.7002
2016-02-11,12087.40039
2016-02-12,12381.2002
2016-02-16,12555
2016-02-17,12867.2002
2016-02-18,12931.40039
2016-02-19,12813.40039
2016-02-22,12845.59961
2016-02-23,12763.40039
2016-02-24,12740.29981
2016-02-25,12753.59961
2016-02-26,12797.79981
